 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	1885.089	130.227	12.660	115	112	149	50.070	33.240	49.500	32.954	194.118	18.513	9.257	64.797	46.283	64.101	37.444	6.615	0.629	70.497	245490.040	130	0.104	-1.408	100	2865	1	18.513	27.770	156.801	46.283	1.712	0.584	0.721
2	514.115	146.833	11.071	137	137	161	197.476	24.684	197.411	24.381	78.545	185.133	9.257	27.770	27.770	29.070	22.518	45.000	1	33.375	75489.258	153	0.161	-1.772	100	881	1	185.133	37.027	33.690	26.182	1.291	0.775	0.800
3	2399.205	150.821	28.269	131	120	208	674.745	40.333	675.547	40.557	188.695	638.710	9.257	64.797	64.797	74.828	40.824	134.117	0.847	79.629	361851.462	139	0.837	-0.544	100	4223	1	638.710	18.513	144.462	45.818	1.833	0.546	0.800
4	171.372	119	0	119	119	119	726.648	18.513	726.648	18.513	44.695	722.020	9.257	9.257	18.513	20.890	10.445	90	1	20.699	20393.239	119	NaN	NaN	100	238	1	722.020	9.257	116.565	9.257	2	0.500	1
5	171.372	128	0	128	128	128	828.472	18.513	828.472	18.513	44.695	823.843	9.257	9.257	18.513	20.890	10.445	90	1	20.699	21935.585	128	NaN	NaN	100	256	1	823.843	9.257	116.565	9.257	2	0.500	1
6	171.372	119	0	119	119	119	893.268	18.513	893.268	18.513	44.695	888.640	9.257	9.257	18.513	20.890	10.445	90	1	20.699	20393.239	119	NaN	NaN	100	238	1	888.640	9.257	116.565	9.257	2	0.500	1
7	599.801	131.571	15.328	116	115	148	2025.226	23.142	2025.245	23.142	83.968	2008.697	9.257	27.770	27.770	28.570	26.730	90.000	1	33.375	78916.693	139	-0.121	-1.786	100	921.000	1	2017.953	9.257	123.690	27.770	1.069	0.936	0.875
8	171.372	120	0	120	120	120	2064.237	13.885	2064.237	13.885	39.273	2054.980	9.257	18.513	9.257	20.890	10.445	0	1	20.699	20564.611	120	NaN	NaN	100	240	1	2054.980	9.257	153.435	9.257	2	0.500	1
9	428.429	146.800	21.040	163	120	163	2105.892	23.142	2105.387	22.700	78.545	2092.007	9.257	27.770	27.770	23.356	23.356	0	0.873	29.272	62893.434	160	-0.453	-1.710	100	734	1	2101.263	9.257	108.435	26.182	1	1.000	0.714
10	1113.916	133.154	15.459	118	118	162	3102.763	33.110	3102.371	32.666	136.331	3082.470	9.257	46.283	46.283	53.983	26.273	142.247	0.753	59.272	148322.254	129	0.820	-0.466	100	1731	1	3082.470	9.257	128.660	32.727	2.055	0.487	0.765
11	1628.032	152.789	19.197	151	116	185	4002.047	30.937	4002.223	30.574	136.331	3980.367	9.257	46.283	46.283	49.067	42.246	45.001	1	53.975	248746.103	151	-0.363	-0.489	100	2903	1	3980.367	46.283	30.964	45.818	1.161	0.861	0.884
12	171.372	113	0	113	113	113	4396.917	13.885	4396.917	13.885	39.273	4387.660	9.257	18.513	9.257	20.890	10.445	0	1	20.699	19365.008	113	NaN	NaN	100	226	1	4387.660	9.257	153.435	9.257	2	0.500	1
