 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	586.091	140.526	25.105	111	110	182	1725.394	18.562	1725.424	18.468	81.799	1710.632	5.554	27.770	27.770	29.440	25.347	135.000	1	32.385	82361.266	134	0.341	-1.126	100	2670.000	1	1716.186	5.554	120.964	27.491	1.161	0.861	0.884
2	2467.753	158.800	33.978	219	111	226	1829.488	30.339	1829.006	30.649	242.701	1788.388	5.554	83.310	49.986	80.442	39.060	1.894	0.526	87.816	391879.221	161	0.329	-0.996	100	12704	1	1788.388	11.108	161.565	49.396	2.059	0.486	0.727
3	802.020	161.615	28.813	158	124	209	5095.795	22.216	5095.847	21.808	96.160	5081.910	5.554	27.770	33.324	34.764	29.374	90.000	1	37.257	129618.741	158	0.338	-1.298	100	4202	1	5087.464	5.554	116.565	27.770	1.184	0.845	0.929
4	6508.699	151.801	28.016	114	110	219	511.139	55.237	509.326	56.212	594.019	438.766	11.108	172.174	99.972	134.184	61.760	15.074	0.232	182.692	988026.719	150	0.349	-0.967	100	32030.000	1	438.766	99.972	19.537	99.592	2.173	0.460	0.536
5	2899.610	156.298	28.632	128	110	216	715.284	41.655	714.708	41.528	226.992	677.588	11.108	77.756	61.094	73.622	50.147	162.936	0.707	80.867	453202.890	158	0.288	-0.941	100	14692	1	677.588	61.094	15.945	57.936	1.468	0.681	0.800
6	771.173	130.360	18.200	133	110	165	2639.594	24.993	2639.843	24.956	104.015	2621.488	11.108	38.878	27.770	41.066	23.910	0	0.896	42.298	100530.099	133	0.548	-0.809	100	3259.000	1	2621.488	16.662	156.801	27.770	1.718	0.582	0.833
7	740.326	154.875	28.212	168	112	191	3667.723	28.696	3667.504	28.920	92.907	3654.532	11.108	27.770	33.324	33.939	27.774	109.605	1	37.257	114657.987	168	-0.275	-1.339	100	3717	1	3660.086	11.108	116.565	27.770	1.222	0.818	0.906
8	678.632	156.364	28.451	160	110	200	5338.656	27.770	5338.561	27.014	89.653	5326.286	11.108	27.770	33.324	31.884	27.101	90.000	1	35.127	106113.391	166	-0.340	-0.929	100	3440	1	5331.840	11.108	108.435	27.770	1.176	0.850	0.880
9	647.785	157.143	20.016	139	129	194	341.571	30.547	341.362	30.564	85.052	327.686	16.662	27.770	27.770	28.719	28.719	0	1	32.385	101794.823	154	0.532	-0.768	100	3300	1	333.240	16.662	120.964	27.770	1	1.000	0.913
10	370.163	135	6.509	128	128	144	2843.648	27.770	2843.710	27.695	62.836	2832.540	16.662	22.216	22.216	21.710	21.710	0	1	24.838	49972.004	133	0.238	-1.612	100	1620	1	2838.094	16.662	116.565	22.216	1	1.000	0.857
11	647.785	155.905	27.333	133	111	200	3318.515	30.547	3318.247	30.757	85.052	3304.630	16.662	27.770	27.770	28.719	28.719	0	1	32.385	100992.803	148	0.270	-0.865	100	3274	1	3310.184	16.662	120.964	27.770	1	1.000	0.913
12	925.407	163.033	35.696	179	110	220	3611.396	36.286	3611.727	35.473	108.616	3593.438	16.662	33.324	38.878	38.293	30.770	117.126	0.986	42.298	150872.266	165	0.014	-1.218	100	4891	1	3604.546	16.662	113.199	33.324	1.245	0.804	0.870
13	154.235	122	6.708	119	119	134	4518.179	24.993	4518.179	24.993	47.127	4509.848	16.662	16.662	16.662	14.013	14.013	0	0.873	17.563	18816.619	119	1.500	0.250	100	610	1	4515.402	16.662	108.435	15.709	1	1	0.714
14	401.010	150.385	14.813	149	120	177	4575.855	27.129	4575.918	27.161	66.090	4565.388	16.662	22.216	22.216	24.328	20.987	135.000	1	27.770	60305.721	149	0.219	0.512	100	1955	1	4565.388	16.662	126.870	22.216	1.159	0.863	0.897
15	2035.896	162.515	30.024	145	110	212	4974.869	38.541	4974.661	37.854	181.213	4937.506	16.662	66.648	49.986	74.136	34.965	153.149	0.779	77.159	330864.021	163	-0.030	-1.044	100	10726	1	4937.506	22.216	149.744	43.182	2.120	0.472	0.841
