 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	462.704	177.200	20.356	177	146	212	956.167	16.245	956.230	16.266	77.198	944.180	2.777	24.993	24.993	26.570	22.173	43.564	0.976	28.591	81991.103	177	-0.037	-1.252	100	10632	1	944.180	24.993	29.055	23.564	1.198	0.834	0.909
2	401.010	176.365	17.723	159	145	203	1113.684	13.938	1113.795	13.884	71.644	1102.469	2.777	22.216	24.993	23.063	22.139	118.011	0.982	26.345	70724.267	181	-0.030	-1.534	100	9171	1	1108.023	2.777	108.435	22.216	1.042	0.960	0.897
3	640.074	188.060	24.010	181	146	229	249.211	19.656	249.329	19.531	92.907	233.268	5.554	30.547	30.547	30.318	26.881	127.501	0.932	33.555	120372.378	187	0.007	-1.141	100	15609	1	241.599	5.554	114.444	27.491	1.128	0.887	0.897
4	293.046	168.053	14.129	148	148	190	594.716	16.881	594.773	16.997	62.163	585.947	5.554	19.439	22.216	20.996	17.771	101.148	0.953	22.900	49247.101	172	-0.118	-1.412	100	6386	1	591.501	5.554	104.036	19.439	1.181	0.846	0.864
5	154.235	158.650	8.222	151	146	172	1822.962	12.219	1823.052	12.196	42.526	1816.158	5.554	13.885	13.885	14.583	13.467	26.565	1	16.193	24469.316	163	-0.192	-1.289	100	3173	1	1816.158	8.331	149.036	13.885	1.083	0.923	0.889
6	185.081	155.208	4.242	152	145	161	1955.471	15.505	1955.458	15.580	50.381	1949.454	5.554	13.885	19.439	19.076	12.353	85.543	0.916	20.217	28726.191	156	-0.511	-0.031	100	3725	1	1952.231	5.554	105.945	13.885	1.544	0.648	0.842
7	1712.004	174.068	16.663	180	145	210	2096.773	39.516	2097.191	39.133	220.764	2060.534	5.554	66.648	66.648	75.414	28.904	42.227	0.441	80.101	298004.344	174	0.128	-0.912	100	38643	1	2068.865	72.202	56.310	43.001	2.609	0.383	0.678
8	215.928	161.071	9.541	164	145	174	2141.067	13.885	2141.137	13.872	50.381	2132.736	5.554	16.662	16.662	18.637	14.752	134.999	1	20.025	34779.898	164	-0.203	-1.375	100	4510	1	2135.513	5.554	123.690	15.709	1.263	0.792	0.903
9	223.640	165.586	11.782	176	146	181	2361.839	14.699	2361.904	14.669	53.634	2354.896	5.554	13.885	19.439	18.984	14.999	90.000	0.977	20.217	37031.723	163	-0.174	-1.349	100	4802	1	2357.673	5.554	105.945	13.885	1.266	0.790	0.906
10	586.091	164.342	12.657	164	145	194	201.150	26.308	201.331	26.191	101.714	188.836	8.331	24.993	38.878	42.940	17.379	64.788	0.712	43.467	96319.495	164	0.491	-0.227	100	12490	1	191.613	47.209	63.435	21.114	2.471	0.405	0.849
11	940.831	178.828	18.195	199	145	209	810.360	29.932	810.470	29.931	121.351	794.222	8.331	33.324	44.432	46.896	25.544	60.846	0.803	47.453	168246.792	180	-0.277	-1.022	100	21817	1	802.553	52.763	69.444	27.154	1.836	0.545	0.887
12	146.523	160.737	9.291	155	146	173	1555.632	17.612	1555.650	17.603	44.153	1549.566	8.331	11.108	16.662	16.135	11.562	87.350	0.944	17.563	23551.620	159	0.022	-1.354	100	3054	1	1555.120	8.331	108.435	11.108	1.396	0.717	0.905
13	123.388	153.562	6.743	162	145	162	1910.576	15.274	1910.604	15.272	36.972	1905.022	8.331	11.108	13.885	13.781	11.400	90.000	1	14.955	18947.718	151	0.182	-1.697	100	2457	1	1907.799	8.331	111.801	11.108	1.209	0.827	0.889
14	570.668	184.622	21.947	172	145	223	300.554	24.693	300.641	24.636	85.052	286.031	11.108	27.770	27.770	28.231	25.738	70.153	0.991	30.038	105357.642	189	-0.032	-1.228	100	13662	1	288.808	33.324	33.690	27.331	1.097	0.912	0.902
15	269.911	169.657	15.345	183	146	195	1363.229	21.700	1363.166	21.582	58.235	1352.399	11.108	19.439	19.439	19.105	17.988	78.348	1	21.149	45792.247	167	-0.037	-1.216	100	5938	1	1360.730	11.108	113.199	19.439	1.062	0.942	0.886
16	524.398	159.985	11.763	149	145	186	2016.837	28.301	2017.099	28.519	100.761	1999.440	11.108	33.324	33.324	41.940	15.920	133.133	0.649	41.655	83895.900	156	0.705	-0.606	100	10879	1	2002.217	11.108	126.870	21.578	2.634	0.380	0.777
17	385.586	175.320	16.308	195	150	204	21.550	24.049	21.646	23.879	69.343	11.108	13.885	22.216	22.216	22.527	21.793	171.712	1	24.838	67601.016	176	-0.016	-1.258	100	8766	1	13.885	13.885	116.565	22.216	1.034	0.967	0.917
18	246.775	174.656	15.332	170	145	196	145.359	22.563	145.427	22.512	54.308	136.073	13.885	19.439	16.662	19.229	16.340	20.294	1	21.149	43100.853	175	-0.266	-0.954	100	5589	1	136.073	27.770	23.199	16.662	1.177	0.850	0.901
19	493.551	179.062	19.859	208	145	212	660.449	26.295	660.579	26.193	79.498	647.041	13.885	27.770	24.993	27.107	23.182	168.377	0.981	28.993	88376.414	178	0.049	-1.155	100	11460	1	647.041	19.439	163.301	24.845	1.169	0.855	0.889
20	408.722	173.792	16.152	194	145	206	2245.414	24.286	2245.568	24.311	71.644	2232.708	13.885	24.993	22.216	23.710	21.948	8.191	1	26.345	71032.736	174	-0.072	-1.181	100	9211	1	2232.708	27.770	18.435	22.216	1.080	0.926	0.906
21	61.694	151.125	5.303	147	145	157	371.424	20.133	371.442	20.115	27.491	366.564	16.662	11.108	8.331	10.546	7.449	172.982	1	12.419	9323.480	155	0.018	-1.863	100	1209	1	366.564	16.662	153.435	8.331	1.416	0.706	0.800
22	69.406	148.444	3.127	148	145	154	1773.423	22.679	1773.441	22.700	29.118	1768.949	16.662	8.331	11.108	10.883	8.120	110.301	1	12.419	10302.870	148	0.785	-0.545	100	1336	1	1771.726	16.662	116.565	8.331	1.340	0.746	0.857
23	462.704	180.783	19.968	156	145	212	2283.064	27.909	2283.168	27.888	76.524	2271.586	16.662	22.216	24.993	25.658	22.961	116.647	0.993	28.591	83649.124	183	-0.069	-1.091	100	10847	1	2274.363	16.662	119.055	22.216	1.117	0.895	0.938
24	200.505	165.077	8.597	173	146	175	2779.777	23.604	2779.719	23.616	48.080	2771.446	16.662	16.662	13.885	17.382	14.687	0	1	18.629	33098.741	170	-0.715	-0.726	100	4292	1	2771.446	19.439	153.435	13.885	1.184	0.845	0.929
25	501.262	182.369	21.091	208	147	211	452.331	32.875	452.444	32.718	78.825	441.543	19.439	22.216	27.770	28.034	22.766	79.537	1	29.909	91414.836	191	-0.251	-1.567	100	11854	1	447.097	47.209	68.199	22.216	1.231	0.812	0.935
26	493.551	175.984	18.850	194	145	203	487.537	32.630	487.645	32.601	80.451	474.867	19.439	24.993	24.993	27.298	23.020	30.871	0.958	30.038	86857.204	180	-0.279	-1.309	100	11263	1	474.867	41.655	33.690	24.593	1.186	0.843	0.914
27	185.081	155.083	8.408	147	145	172	1606.842	27.307	1606.822	27.336	46.453	1599.552	19.439	13.885	16.662	16.969	13.887	109.605	1	18.629	28703.055	153	0.484	-1.224	100	3722	1	1602.329	19.439	116.565	13.885	1.222	0.818	0.906
28	701.767	187.319	25.276	209	145	227	2561.844	35.536	2561.960	35.577	96.160	2546.509	19.439	30.547	30.547	31.696	28.190	119.495	0.954	34.796	131454.133	189	-0.223	-1.146	100	17046	1	2554.840	19.439	118.610	29.455	1.124	0.889	0.915
29	323.893	176.310	16.432	175	147	201	874.028	30.878	873.995	30.785	65.416	863.647	22.216	22.216	19.439	21.074	19.569	34.634	0.951	23.889	57105.353	175	-0.245	-1.134	100	7405.000	1	866.424	38.878	35.538	19.439	1.077	0.929	0.894
30	593.803	178.831	19.182	203	147	209	913.543	37.057	913.685	36.831	87.632	902.525	22.216	22.216	30.547	32.249	23.444	96.837	0.972	33.555	106190.508	181	-0.161	-1.250	100	13770	1	905.302	22.216	114.444	22.216	1.376	0.727	0.951
31	107.964	156.071	3.710	158	148	160	1243.699	28.563	1243.673	28.565	36.972	1238.542	22.216	11.108	13.885	13.180	10.430	65.642	0.993	14.955	16850.128	158	-0.978	-0.369	100	2185	1	1241.319	36.101	68.199	11.108	1.264	0.791	0.848
32	393.298	173.941	16.900	152	146	202	2443.352	35.203	2443.379	35.180	70.017	2432.652	22.216	22.216	24.993	23.800	21.040	66.500	1	26.345	68410.748	172	-0.037	-1.260	100	8871	1	2438.206	47.209	71.565	21.600	1.131	0.884	0.903
33	532.109	179.159	18.592	170	147	211	1389.526	38.697	1389.622	38.636	84.379	1374.615	24.993	27.770	24.993	26.956	25.134	167.004	0.939	30.038	95332.394	178	0.053	-0.993	100	12362	1	1377.392	30.547	146.310	24.993	1.072	0.932	0.908
34	377.875	172.429	14.372	176	149	197	413.575	38.963	413.606	38.960	69.343	402.665	27.770	22.216	22.216	22.852	21.054	80.597	0.988	24.838	65156.398	176	-0.199	-1.266	100	8449	1	408.219	27.770	116.565	22.216	1.085	0.921	0.899
35	462.704	183.133	19.450	158	150	211	1080.855	40.174	1080.941	40.158	78.825	1069.145	27.770	24.993	24.993	25.710	22.915	118.922	0.936	27.770	84736.478	189	-0.221	-1.332	100	10988	1	1074.699	27.770	126.870	24.593	1.122	0.891	0.889
36	269.911	171.057	16.657	152	147	199	1510.172	36.379	1510.299	36.389	58.235	1499.580	27.770	19.439	19.439	19.105	17.988	168.348	1	21.149	46170.122	165	0.252	-1.370	100	5987	1	1505.134	27.770	113.199	19.439	1.062	0.942	0.886
37	470.415	179.082	21.553	145	145	215	2670.950	39.720	2671.017	39.632	77.198	2657.589	27.770	24.993	24.993	26.623	22.497	131.473	0.992	28.591	84242.928	179	-0.076	-1.325	100	10924	1	2663.143	27.770	119.055	24.845	1.183	0.845	0.904
38	239.064	166.484	11.755	150	149	183	2732.702	38.027	2732.669	37.911	54.308	2724.237	27.770	16.662	19.439	19.435	15.661	111.473	1	21.149	39800.233	166	-0.029	-1.474	100	5161	1	2729.791	27.770	113.199	16.662	1.241	0.806	0.886
39	331.604	174.047	17.609	169	145	202	1139.894	40.783	1140.048	40.677	63.789	1130.239	30.547	19.439	22.216	22.804	18.515	58.983	1	24.838	57714.580	169	0.050	-1.159	100	7484	1	1135.793	52.763	63.435	19.439	1.232	0.812	0.915
40	300.757	174.974	15.121	146	146	199	1284.006	43.400	1284.070	43.507	59.862	1274.643	33.324	19.439	19.439	20.491	18.688	45.002	1	22.389	52624.839	177	-0.178	-0.947	100	6824	1	1274.643	49.986	29.745	19.439	1.097	0.912	0.918
41	771.173	172.530	16.823	154	145	202	1801.829	54.707	1801.964	54.584	115.797	1785.611	33.324	30.547	44.432	47.355	20.735	67.845	0.723	47.453	133050.460	175	0.032	-1.206	100	17253	1	1793.942	77.756	69.444	23.599	2.284	0.438	0.858
42	339.316	171.682	19.754	149	145	202	2198.059	43.233	2198.139	43.220	65.416	2188.276	33.324	22.216	19.439	22.173	19.485	165.617	0.996	24.838	58254.401	178	0.027	-1.457	100	7554	1	2188.276	36.101	153.435	19.439	1.138	0.879	0.917
43	61.694	152.875	3.603	151	146	157	703.622	39.919	703.638	39.903	25.190	699.804	36.101	8.331	8.331	9.824	7.996	45.000	1	11.782	9431.445	155	-0.715	-0.399	100	1223	1	699.804	44.432	45	8.331	1.229	0.814	0.941
44	354.740	178.239	17.866	206	148	206	1694.694	44.794	1694.811	44.761	69.343	1682.862	36.101	24.993	19.439	25.017	18.054	3.046	0.927	26.345	63228.466	182	-0.035	-1.233	100	8199	1	1682.862	38.878	161.565	19.439	1.386	0.722	0.885
45	293.046	172.605	16.669	154	152	203	67.598	49.182	67.754	49.096	58.235	58.317	38.878	19.439	19.439	20.060	18.600	30.275	1	22.389	50581.231	171	0.385	-1.189	100	6559	1	58.317	55.540	29.745	19.439	1.078	0.927	0.905
46	393.298	174.980	18.983	151	148	206	1041.239	48.870	1041.388	48.731	70.970	1030.267	38.878	22.216	22.216	23.575	21.241	37.045	0.981	26.198	68819.470	172	0.079	-1.446	100	8924	1	1030.267	55.540	32.005	22.216	1.110	0.901	0.919
47	200.505	171.423	13.473	154	152	189	1455.148	45.820	1455.246	45.733	48.080	1446.817	38.878	16.662	13.885	17.382	14.687	0	1	18.629	34371.176	172	-0.102	-1.507	100	4457	1	1446.817	41.655	153.435	13.885	1.184	0.845	0.929
